Cattle_ID,Feed_Type,Quantity_per_Day
1,Grass,6
1,Silage,9
1,Concentrates,10
2,Grass,7
2,Silage,9
2,Concentrates,6
3,Grass,2
3,Silage,9
3,Concentrates,7
4,Grass,7
4,Silage,5
4,Concentrates,6
5,Grass,9
5,Silage,2
5,Concentrates,4
6,Grass,9
6,Silage,4
6,Concentrates,6
7,Grass,7
7,Silage,4
7,Concentrates,4
8,Grass,2
8,Silage,7
8,Concentrates,7
9,Grass,7
9,Silage,2
9,Concentrates,2
10,Grass,7
10,Silage,6
10,Concentrates,3
11,Grass,6
11,Silage,6
11,Concentrates,8
12,Grass,6
12,Silage,2
12,Concentrates,9
13,Grass,4
13,Silage,6
13,Concentrates,6
14,Grass,3
14,Silage,2
14,Concentrates,10
15,Grass,9
15,Silage,7
15,Concentrates,5
16,Grass,2
16,Silage,6
16,Concentrates,2
17,Grass,8
17,Silage,6
17,Concentrates,3
18,Grass,7
18,Silage,7
18,Concentrates,2
19,Grass,8
19,Silage,6
19,Concentrates,7
20,Grass,10
20,Silage,9
20,Concentrates,2
21,Grass,6
21,Silage,3
21,Concentrates,2
22,Grass,7
22,Silage,10
22,Concentrates,4
23,Grass,7
23,Silage,4
23,Concentrates,9
24,Grass,5
24,Silage,3
24,Concentrates,7
25,Grass,9
25,Silage,5
25,Concentrates,10
26,Grass,9
26,Silage,7
26,Concentrates,8
27,Grass,2
27,Silage,8
27,Concentrates,10
28,Grass,9
28,Silage,3
28,Concentrates,7
29,Grass,10
29,Silage,7
29,Concentrates,6
30,Grass,5
30,Silage,10
30,Concentrates,6
31,Grass,5
31,Silage,6
31,Concentrates,8
32,Grass,8
32,Silage,4
32,Concentrates,7
33,Grass,4
33,Silage,10
33,Concentrates,10
34,Grass,6
34,Silage,2
34,Concentrates,6
35,Grass,5
35,Silage,4
35,Concentrates,6
36,Grass,6
36,Silage,4
36,Concentrates,7
37,Grass,9
37,Silage,7
37,Concentrates,3
38,Grass,3
38,Silage,3
38,Concentrates,3
39,Grass,8
39,Silage,3
39,Concentrates,10
40,Grass,10
40,Silage,10
40,Concentrates,10
41,Grass,10
41,Silage,4
41,Concentrates,4
42,Grass,9
42,Silage,3
42,Concentrates,10
43,Grass,7
43,Silage,10
43,Concentrates,8
44,Grass,2
44,Silage,6
44,Concentrates,2
45,Grass,3
45,Silage,5
45,Concentrates,7
46,Grass,8
46,Silage,4
46,Concentrates,3
47,Grass,10
47,Silage,7
47,Concentrates,4
48,Grass,10
48,Silage,10
48,Concentrates,8
49,Grass,5
49,Silage,9
49,Concentrates,8
50,Grass,8
50,Silage,5
50,Concentrates,7
