Feed_ID,Feed_Name,Energy (kcal/kg),Protein (%),Fiber (%),Cost_per_kg (₹),Recommended_for,Milk_Yield_Impact,Availability,Supplier
F001,Maize,1962,15.5,9.6,18.08,Calves,+,Medium,FarmFeed Co
F002,Hay,2066,23.8,14.5,39.42,Adult Cows,-,Low,Local Vendor
F003,Bran,2292,22.4,12.9,22.33,Milking Cows,+,Low,GreenFeeders
F004,Soybean Meal,2448,18.7,14.9,23.28,Milking Cows,-,Medium,FarmFeed Co
F005,Barley,1946,23.4,9.8,23.16,Milking Cows,+,High,GreenFeeders
F006,Hay,2466,21.6,14.6,22.71,Adult Cows,0,Medium,AgroMart
F007,Barley,1829,19.9,5.5,25.22,Adult Cows,-,Low,AgroMart
F008,Cottonseed Cake,2643,13.5,6.5,36.13,Adult Cows,-,Low,AgroMart
F009,Barley,2201,20.7,12.3,21.72,Adult Cows,-,High,Local Vendor
F010,Bran,2755,15.2,14.9,27.18,Calves,+,Low,GreenFeeders
F011,Bran,2413,22.0,6.5,29.05,Milking Cows,-,Medium,GreenFeeders
F012,Bran,1970,21.6,8.1,29.33,Calves,+,Low,AgroMart
F013,Maize,2092,16.2,6.0,35.5,Adult Cows,+,Low,FarmFeed Co
F014,Bran,2109,20.5,8.3,28.2,Adult Cows,+,Medium,Local Vendor
F015,Soybean Meal,2397,13.7,13.0,28.84,Adult Cows,0,Low,FarmFeed Co
F016,Barley,2153,13.4,11.3,36.28,Adult Cows,0,High,Local Vendor
F017,Barley,2485,13.2,12.9,21.4,Milking Cows,0,Low,AgroMart
F018,Hay,2620,22.2,14.3,32.7,Calves,-,High,FarmFeed Co
F019,Cottonseed Cake,1816,18.7,9.7,27.46,Calves,+,High,AgroMart
F020,Barley,1985,14.0,10.2,36.08,Milking Cows,+,Medium,GreenFeeders
F021,Cottonseed Cake,2408,21.5,14.0,33.98,Calves,-,Medium,Local Vendor
F022,Maize,2730,14.7,7.1,36.18,Calves,0,Low,Local Vendor
F023,Cottonseed Cake,2305,17.4,13.6,28.83,Calves,-,Low,FarmFeed Co
F024,Hay,2709,15.8,13.0,39.49,Adult Cows,-,Low,AgroMart
F025,Barley,2152,17.4,5.9,29.58,Adult Cows,-,Medium,Local Vendor
F026,Cottonseed Cake,2782,22.3,9.9,22.8,Milking Cows,+,Medium,Local Vendor
F027,Maize,2282,18.1,14.8,33.82,Milking Cows,+,Medium,FarmFeed Co
F028,Soybean Meal,2265,19.2,10.7,24.1,Milking Cows,-,Low,Local Vendor
F029,Barley,2509,20.5,14.2,28.32,Adult Cows,+,Low,Local Vendor
F030,Maize,2556,23.2,6.1,26.2,Calves,+,Medium,GreenFeeders
F031,Bran,2608,17.1,5.7,31.33,Calves,0,Low,FarmFeed Co
F032,Soybean Meal,2312,23.4,8.0,28.83,Calves,+,Low,GreenFeeders
F033,Barley,2452,20.0,13.7,37.57,Milking Cows,-,Medium,FarmFeed Co
F034,Soybean Meal,2042,23.1,14.8,35.49,Adult Cows,+,Low,GreenFeeders
F035,Bran,2714,17.7,9.9,29.62,Adult Cows,+,Medium,FarmFeed Co
F036,Hay,2034,22.0,11.9,34.21,Adult Cows,-,Low,Local Vendor
F037,Bran,2627,23.9,8.6,19.56,Calves,0,High,FarmFeed Co
F038,Bran,2489,14.8,8.6,36.11,Milking Cows,0,Low,FarmFeed Co
F039,Maize,2366,19.9,10.5,32.04,Adult Cows,-,Medium,FarmFeed Co
F040,Soybean Meal,2584,17.8,12.4,36.21,Adult Cows,+,Medium,AgroMart
F041,Cottonseed Cake,1952,23.8,11.3,35.19,Calves,0,Medium,GreenFeeders
F042,Hay,2526,17.9,8.8,34.21,Calves,0,High,FarmFeed Co
F043,Soybean Meal,2395,13.2,10.6,37.67,Adult Cows,0,Medium,Local Vendor
F044,Bran,2054,13.6,8.3,19.09,Calves,-,High,FarmFeed Co
F045,Soybean Meal,2075,16.2,7.0,33.38,Milking Cows,0,Low,FarmFeed Co
F046,Maize,2724,14.4,13.6,18.02,Calves,+,Medium,Local Vendor
F047,Bran,2071,15.8,12.5,27.54,Calves,+,Medium,GreenFeeders
F048,Cottonseed Cake,2189,20.2,5.4,34.77,Calves,-,Medium,Local Vendor
F049,Soybean Meal,2058,17.8,5.3,36.04,Calves,-,Medium,AgroMart
F050,Bran,2708,13.1,6.5,33.99,Adult Cows,+,Medium,GreenFeeders
F051,Maize,2312,20.8,8.9,30.6,Calves,-,Low,Local Vendor
F052,Barley,2790,23.7,8.6,20.8,Adult Cows,0,High,AgroMart
F053,Hay,2799,20.0,10.5,37.75,Milking Cows,+,High,AgroMart
F054,Soybean Meal,2138,15.9,13.6,18.66,Milking Cows,+,Medium,AgroMart
F055,Soybean Meal,2744,13.3,6.5,33.77,Adult Cows,0,Low,Local Vendor
F056,Soybean Meal,2557,21.3,14.5,25.74,Adult Cows,0,High,AgroMart
F057,Soybean Meal,2422,13.2,9.0,36.96,Adult Cows,+,High,GreenFeeders
F058,Barley,2159,12.1,9.9,38.06,Adult Cows,-,Low,Local Vendor
F059,Bran,2546,20.7,12.7,24.6,Milking Cows,+,Medium,FarmFeed Co
F060,Cottonseed Cake,2508,16.6,5.9,23.15,Milking Cows,+,Medium,Local Vendor
F061,Cottonseed Cake,2214,23.9,11.9,30.64,Adult Cows,0,Medium,FarmFeed Co
F062,Hay,2225,14.2,5.4,25.86,Calves,-,High,FarmFeed Co
F063,Cottonseed Cake,2725,21.2,5.5,32.65,Calves,0,Medium,GreenFeeders
F064,Hay,2065,23.3,10.6,30.51,Calves,-,High,FarmFeed Co
F065,Hay,2290,12.3,10.6,37.95,Adult Cows,0,High,Local Vendor
F066,Barley,2461,15.9,13.9,39.4,Adult Cows,-,Low,AgroMart
F067,Hay,2212,15.3,11.3,22.6,Milking Cows,+,Medium,Local Vendor
F068,Barley,2438,19.1,11.0,26.99,Milking Cows,+,Medium,AgroMart
F069,Maize,2034,19.3,9.8,19.24,Adult Cows,0,Low,FarmFeed Co
F070,Soybean Meal,2551,17.5,11.0,25.04,Milking Cows,-,High,Local Vendor
F071,Maize,1924,22.3,6.6,34.42,Adult Cows,+,Medium,AgroMart
F072,Bran,2521,13.3,7.4,37.28,Milking Cows,-,Medium,FarmFeed Co
F073,Barley,2781,15.7,11.8,30.21,Adult Cows,0,Medium,AgroMart
F074,Hay,1854,20.5,12.7,33.08,Calves,-,Low,AgroMart
F075,Cottonseed Cake,2112,13.3,10.6,22.4,Milking Cows,0,Medium,Local Vendor
F076,Soybean Meal,1818,19.0,11.3,30.91,Milking Cows,+,Medium,Local Vendor
F077,Soybean Meal,2683,13.4,6.0,18.54,Calves,-,Medium,AgroMart
F078,Barley,1888,19.7,8.9,38.02,Calves,+,Medium,AgroMart
F079,Soybean Meal,2508,14.0,5.4,19.62,Calves,+,Medium,FarmFeed Co
F080,Bran,2401,13.4,8.7,20.48,Adult Cows,+,High,AgroMart
F081,Hay,2221,16.3,15.0,22.84,Milking Cows,+,High,GreenFeeders
F082,Cottonseed Cake,2559,12.0,7.0,28.03,Milking Cows,+,Medium,GreenFeeders
F083,Hay,2017,23.4,9.9,33.19,Adult Cows,0,High,AgroMart
F084,Hay,1922,23.9,9.2,31.7,Adult Cows,0,Low,GreenFeeders
F085,Maize,2758,15.5,14.9,28.2,Adult Cows,0,High,FarmFeed Co
F086,Bran,1822,17.7,12.0,26.37,Adult Cows,0,High,Local Vendor
F087,Cottonseed Cake,1935,18.1,8.4,18.29,Milking Cows,+,High,FarmFeed Co
F088,Maize,2729,21.2,6.7,20.95,Adult Cows,+,Low,GreenFeeders
F089,Maize,2730,17.2,11.4,31.17,Milking Cows,+,High,FarmFeed Co
F090,Barley,2046,22.2,9.2,28.79,Calves,-,Low,FarmFeed Co
F091,Maize,2201,20.7,9.3,34.25,Calves,+,High,FarmFeed Co
F092,Maize,2549,22.1,7.8,25.31,Calves,0,Low,GreenFeeders
F093,Cottonseed Cake,2275,18.1,11.8,22.4,Adult Cows,+,Low,Local Vendor
F094,Bran,2134,12.2,9.5,22.88,Calves,-,Low,GreenFeeders
F095,Soybean Meal,2322,17.0,10.4,39.67,Calves,0,Medium,Local Vendor
F096,Maize,1915,17.3,5.6,18.49,Adult Cows,+,High,FarmFeed Co
